Date, Open, High, Low, Close
05/25/21, 1082.56, 1082.56, 1059.95, 1061.08
05/24/21, 1067.56, 1083.81, 1064.43, 1082.56
05/21/21, 1068.30, 1085.74, 1067.12, 1067.56
05/20/21, 1072.13, 1072.58, 1055.96, 1068.30
05/19/21, 1099.12, 1099.12, 1058.24, 1072.13
05/18/21, 1120.10, 1124.91, 1096.06, 1099.12
05/17/21, 1099.45, 1120.33, 1092.35, 1120.31
05/14/21, 1061.25, 1103.26, 1061.25, 1099.45
05/13/21, 1080.43, 1085.70, 1048.44, 1061.25
05/12/21, 1074.91, 1112.94, 1074.91, 1080.43
05/11/21, 1101.80, 1101.80, 1065.57, 1074.91
05/10/21, 1105.09, 1131.10, 1101.57, 1101.80
05/07/21, 1083.22, 1105.37, 1069.80, 1105.09
05/06/21, 1079.40, 1083.22, 1057.98, 1083.22
05/05/21, 1043.24, 1084.34, 1043.24, 1079.40
05/04/21, 1049.19, 1058.93, 1032.74, 1043.24
05/03/21, 1019.85, 1050.46, 1019.85, 1049.19
04/30/21, 1044.93, 1045.65, 1018.97, 1019.85
04/29/21, 1036.61, 1060.39, 1035.64, 1044.93
04/28/21, 1000.64, 1041.13, 1000.64, 1036.61
04/27/21, 985.33, 1003.66, 985.33, 1000.64
04/26/21, 978.67, 991.28, 977.09, 985.33
04/23/21, 967.70, 982.24, 966.21, 978.67
04/22/21, 982.57, 982.57, 964.91, 967.70
04/21/21, 968.87, 983.91, 954.76, 982.57
04/20/21, 1000.17, 1000.17, 959.12, 968.87
04/19/21, 1001.21, 1012.62, 991.95, 1000.17
04/16/21, 1009.03, 1018.01, 998.47, 1001.21
04/15/21, 1019.80, 1019.80, 1004.93, 1009.03
04/14/21, 988.28, 1031.83, 988.28, 1019.80
04/13/21, 987.37, 994.60, 981.48, 988.28
04/12/21, 997.11, 1013.07, 985.79, 987.37
04/09/21, 1002.20, 1011.39, 992.66, 997.11
04/08/21, 1016.02, 1016.02, 990.18, 1002.20
04/07/21, 1011.55, 1019.23, 1008.06, 1016.02
04/06/21, 1011.61, 1034.80, 1009.00, 1011.55
04/05/21, 1040.68, 1040.68, 1005.08, 1011.61
04/01/21, 1007.45, 1040.77, 1007.45, 1040.68
03/31/21, 1017.17, 1018.61, 1006.21, 1007.45
03/30/21, 1021.20, 1026.39, 1006.09, 1017.17
03/29/21, 1033.42, 1033.42, 1008.12, 1021.20
03/26/21, 1008.05, 1034.00, 1008.05, 1033.42
03/25/21, 1009.13, 1011.01, 972.30, 1008.05
03/24/21, 981.69, 1023.22, 981.69, 1009.13
03/23/21, 1005.24, 1005.24, 974.56, 981.69
03/22/21, 1017.49, 1017.49, 1004.38, 1005.24
03/19/21, 1010.09, 1031.35, 999.00, 1017.49
03/18/21, 1066.54, 1066.54, 1007.05, 1010.09
03/17/21, 1056.95, 1068.37, 1042.73, 1066.53
03/16/21, 1087.29, 1087.29, 1049.59, 1056.95
03/12/21, 1095.92, 1104.18, 1087.57, 1094.49
03/11/21, 1086.06, 1111.12, 1086.06, 1095.92
03/10/21, 1058.41, 1089.92, 1058.36, 1086.06
03/09/21, 1082.05, 1090.78, 1055.74, 1058.41
03/08/21, 1086.22, 1099.20, 1070.81, 1082.05
03/05/21, 1044.67, 1090.18, 1044.67, 1086.22
03/04/21, 1016.92, 1063.30, 1016.92, 1044.67
03/03/21, 995.46, 1038.51, 995.46, 1016.92
03/02/21, 1003.57, 1013.54, 994.24, 995.46
03/01/21, 984.19, 1015.22, 984.19, 1003.57
02/26/21, 1009.78, 1009.78, 956.74, 984.19
02/25/21, 1032.62, 1041.67, 1005.15, 1009.78
02/24/21, 1002.10, 1038.02, 1000.10, 1032.62
02/23/21, 979.09, 1005.42, 956.83, 1002.10
02/22/21, 947.01, 992.64, 947.01, 979.09
02/19/21, 929.55, 950.25, 929.55, 947.01
02/18/21, 951.81, 951.81, 926.24, 929.55
02/17/21, 940.39, 956.46, 933.96, 951.81
02/16/21, 913.74, 950.59, 913.74, 940.39
02/12/21, 900.23, 914.44, 892.50, 913.74
02/11/21, 909.97, 909.97, 882.83, 900.23
02/10/21, 895.95, 912.59, 891.99, 909.97
02/09/21, 909.00, 909.00, 887.95, 895.95
02/08/21, 870.83, 911.91, 870.83, 909.00
02/05/21, 867.36, 882.14, 867.36, 870.83
02/04/21, 861.38, 867.55, 848.74, 867.36
02/03/21, 825.79, 863.12, 825.79, 861.38
02/02/21, 818.45, 842.04, 818.45, 825.79
02/01/21, 812.59, 825.23, 803.56, 818.45
01/29/21, 844.90, 844.90, 810.55, 812.59
