Date,Close,tby,ffr,fta,eps,div,une
2002-12-31,879.82,3.83,1.24,733136.0,40.4,1.79,6.0
2003-01-31,855.7,4.0,1.24,714316.0,41.55,1.8,5.8
2003-02-28,841.15,3.71,1.26,723222.0,42.55,1.93,5.9
2003-03-31,848.18,3.83,1.25,726250.0,43.6,1.92,5.9
2003-04-30,916.92,3.89,1.26,747460.0,45.73,1.82,6.0
2003-06-30,974.5,3.54,1.22,745266.0,49.82,1.64,6.3
2003-07-31,990.31,4.49,1.01,741559.0,51.7,1.64,6.2
2003-09-30,995.97,3.96,1.01,742314.0,55.18,1.63,6.1
2003-10-31,1050.71,4.33,1.01,748784.0,60.09,1.62,6.0
2003-12-31,1111.92,4.27,0.98,772995.0,70.05,1.61,5.7
2004-03-31,1126.21,3.86,1.0,761743.0,73.5,1.6,5.8
2004-04-30,1107.3,4.53,1.0,774058.0,75.21,1.61,5.6
2004-06-30,1140.84,4.62,1.03,780361.0,78.4,1.64,5.6
2004-08-31,1104.24,4.13,1.43,776216.0,79.99,1.74,5.4
2004-09-30,1114.58,4.14,1.61,787410.0,80.58,1.71,5.4
2004-11-30,1173.82,4.36,1.93,810970.0,80.84,1.66,5.4
2004-12-31,1211.92,4.24,2.16,811962.0,81.5,1.62,5.4
2005-01-31,1181.27,4.14,2.28,808012.0,82.1,1.67,5.3
2005-02-28,1203.6,4.36,2.5,805727.0,82.4,1.66,5.4
2005-03-31,1180.59,4.5,2.63,808487.0,82.52,1.69,5.2
2005-05-31,1191.5,4.0,3.0,810921.0,84.81,1.76,5.1
2005-06-30,1191.33,3.94,3.04,810968.0,86.15,1.74,5.0
2005-08-31,1220.33,4.02,3.5,824574.0,88.2,1.74,4.9
2005-09-30,1228.81,4.34,3.62,824750.0,88.56,1.75,5.0
2005-10-31,1207.01,4.57,3.78,820062.0,89.87,1.82,5.0
2005-11-30,1249.48,4.49,4.0,836054.0,92.1,1.78,5.0
2006-01-31,1280.08,4.53,4.29,830100.0,94.54,1.75,4.7
2006-02-28,1280.66,4.55,4.49,842380.0,95.61,1.77,4.8
2006-03-31,1294.83,4.86,4.59,834635.0,96.34,1.76,4.7
2006-05-31,1270.09,5.12,4.94,853554.0,96.64,1.8,4.6
2006-06-30,1270.2,5.15,4.99,845679.0,97.24,1.87,4.6
2006-07-31,1276.66,4.99,5.24,842511.0,98.73,1.88,4.7
2006-08-31,1303.82,4.74,5.25,852299.0,100.3,1.85,4.7
2006-10-31,1377.94,4.61,5.25,853681.0,104.42,1.79,4.4
