Date,Value
1871-01-01,8.5
1871-02-01,8.25
1871-03-01,8.13
1871-04-01,8.44
1871-05-01,8.63
1871-06-01,8.77
1871-07-01,8.77
1871-08-01,8.91
1871-09-01,8.7
1871-10-01,8.57
1871-11-01,8.57
1871-12-01,8.38
1872-01-01,8.43
1872-02-01,8.48
1872-03-01,8.41
1872-04-01,8.27
1872-05-01,8.32
1872-06-01,8.44
1872-07-01,8.61
1872-08-01,8.6
1872-09-01,8.59
1872-10-01,8.83
1872-11-01,8.62
1872-12-01,8.8
1873-01-01,8.85
1873-02-01,8.71
1873-03-01,8.76
1873-04-01,8.81
1873-05-01,9.06
1873-06-01,9.38
1873-07-01,9.44
1873-08-01,9.49
1873-09-01,9.54
1873-10-01,9.82
1873-11-01,10.19
1873-12-01,10.0
1874-01-01,9.85
1874-02-01,9.85
1874-03-01,9.85
1874-04-01,10.0
1874-05-01,10.09
1874-06-01,10.33
1874-07-01,10.25
1874-08-01,10.33
1874-09-01,10.33
1874-10-01,10.49
1874-11-01,10.59
1874-12-01,10.59
1875-01-01,10.39
1875-02-01,10.2
1875-03-01,10.01
1875-04-01,9.73
1875-05-01,9.79
1875-06-01,9.76
1875-07-01,9.56
1875-08-01,9.28
1875-09-01,9.16
1875-10-01,8.96
1875-11-01,8.84
1875-12-01,8.72
1876-01-01,8.62
1876-02-01,8.46
1876-03-01,8.3
1876-04-01,8.21
1876-05-01,8.34
1876-06-01,8.4
1876-07-01,8.22
1876-08-01,7.98
1876-09-01,7.73
1876-10-01,7.42
1876-11-01,7.19
1876-12-01,6.9
1877-01-01,6.82
1877-02-01,7.04
1877-03-01,7.42
1877-04-01,7.25
1877-05-01,7.16
1877-06-01,7.61
1877-07-01,7.59
1877-08-01,7.93
1877-09-01,8.06
1877-10-01,8.1
1877-11-01,8.31
1877-12-01,8.36
1878-01-01,8.63
1878-02-01,8.75
1878-03-01,8.96
1878-04-01,9.08
1878-05-01,9.41
1878-06-01,9.65
1878-07-01,9.56
1878-08-01,9.49
1878-09-01,9.52
1878-10-01,9.64
1878-11-01,9.78
1878-12-01,10.04
1879-01-01,10.1
1879-02-01,10.18
1879-03-01,10.48
1879-04-01,10.79
1879-05-01,10.98
1879-06-01,11.3
1879-07-01,11.36
1879-08-01,11.55
1879-09-01,11.34
1879-10-01,10.91
1879-11-01,10.52
1879-12-01,10.38
1880-01-01,10.32
1880-02-01,10.56
1880-03-01,10.7
1880-04-01,11.38
1880-05-01,11.97
1880-06-01,12.48
1880-07-01,12.75
1880-08-01,13.01
1880-09-01,13.14
1880-10-01,13.41
1880-11-01,13.52
1880-12-01,13.65
1881-01-01,13.66
1881-02-01,13.42
1881-03-01,13.3
1881-04-01,13.05
1881-05-01,13.07
1881-06-01,12.95
1881-07-01,12.7
1881-08-01,12.34
1881-09-01,11.77
1881-10-01,11.55
1881-11-01,11.56
1881-12-01,11.45
1882-01-01,11.43
1882-02-01,11.29
1882-03-01,11.27
1882-04-01,11.15
1882-05-01,11.03
1882-06-01,10.91
1882-07-01,10.98
1882-08-01,10.87
1882-09-01,11.14
1882-10-01,11.23
1882-11-01,11.31
1882-12-01,11.4
1883-01-01,11.33
1883-02-01,11.16
1883-03-01,11.2
1883-04-01,11.24
1883-05-01,11.28
1883-06-01,11.56
1883-07-01,11.72
1883-08-01,11.65
1883-09-01,11.69
1883-10-01,11.62
1883-11-01,11.68
1883-12-01,11.48
1884-01-01,11.26
1884-02-01,11.05
1884-03-01,10.83
1884-04-01,10.84
1884-05-01,10.85
1884-06-01,10.63
1884-07-01,10.52
1884-08-01,10.29
1884-09-01,10.17
